iteration,lambda,learning_rate,rms
1,0.5,0.0,0.509009733788
1,0.5,0.01,0.477906895858
1,0.5,0.02,0.461345065678
1,0.5,0.03,0.405320148834
1,0.5,0.04,0.356916681769
1,0.5,0.05,0.378078332025
1,0.5,0.06,0.296741455342
1,0.5,0.07,0.259398734235
1,0.5,0.08,0.273546367105
1,0.5,0.09,0.291253016121
1,0.5,0.1,0.270071223991
1,0.5,0.11,0.285707757218
1,0.5,0.12,0.236477827838
1,0.5,0.13,0.348879247862
1,0.5,0.14,0.0624323880171
1,0.5,0.15,0.274559942282
1,0.5,0.16,0.179197136534
1,0.5,0.17,0.350696334855
1,0.5,0.18,0.242474942107
1,0.5,0.19,0.348943374956
1,0.5,0.2,0.0927380681083
1,0.5,0.21,0.115959535647
1,0.5,0.22,0.0628445161952
1,0.5,0.23,0.0930756663706
1,0.5,0.24,0.060976959131
1,0.5,0.25,0.180519208791
1,0.5,0.26,0.053574058761
1,0.5,0.27,0.0494013804438
1,0.5,0.28,0.159476921791
1,0.5,0.29,0.0572988944934
1,0.5,0.3,0.0861759784959
1,0.5,0.31,0.0490940948546
1,0.5,0.32,0.238384267115
1,0.5,0.33,0.111776772127
1,0.5,0.34,0.1726251751
1,0.5,0.35,0.0982971417369
1,0.5,0.36,0.148804465701
1,0.5,0.37,0.193070414034
1,0.5,0.38,0.211607551106
1,0.5,0.39,0.366851642172
1,0.5,0.4,0.103134877219
1,0.5,0.41,0.094927401554
1,0.5,0.42,0.106859096506
1,0.5,0.43,0.0741486238132
1,0.5,0.44,0.225349693616
1,0.5,0.45,0.0647226053199
1,0.5,0.46,0.180777196208
1,0.5,0.47,0.107376495119
1,0.5,0.48,0.175680722811
1,0.5,0.49,0.227859809564
1,0.5,0.5,0.152945749533
1,0.5,0.51,0.114314790099
1,0.5,0.52,0.0970368302479
1,0.5,0.53,0.147515945048
1,0.5,0.54,0.0309537354042
1,0.5,0.55,0.386985063441
1,0.5,0.56,0.0393566959697
